token,coefficient
future,0.4318504343113081
comfort,0.4314208702803029
cup,0.43139917839176395
gay,0.43097413109866634
colorful,0.43053544081235723
myth,0.43051763704242074
shelter,0.430261684608463
right,0.42907378188343087
secret,0.42897579075122366
big,0.4284777641698621
form,0.428409025047248
stones,0.42712773747786603
robert,0.42556971144221023
dragons,0.425387760010473
max,0.4249145254555405
denver,0.42446589276663427
thousand,0.4243369725203033
ring,0.42315183966210607
cycle,0.42300577555702623
hungry,0.4226854522284874
strange,0.4223241416535462
yellow,0.4221001569135066
di,0.42043471220255685
landscapes,0.4203079589037462
crafted,0.4202604279330471
auto,0.4201314564271277
releasing,0.42012600697661023
untold,0.4196208966731587
bomb,0.4194351382591919
land,0.4191710583954948
bit,0.41826029349167554
history,0.4168925569087158
light,0.4152657644346716
roots,0.41388259600670935
toy,0.41305674661205155
mask,0.41146054341577515
july,0.41144060358225
curse,0.41105724715893377
cosmic,0.4101554129186833
pop,0.4101239378108411
taylor,0.4088072394792219
jason,0.40720141715700225
swim,0.40679850122723954
andy,0.4066394883982645
zen,0.40628835598868485
gallery,0.4056571420413347
bakery,0.40511112264016885
fighting,0.40481941293928037
die,0.40468737800103943
ties,0.403957451912653
doll,0.40183545185316205
empowering,0.4017380484936576
spin,0.4010904188150404
rule,0.40093610216179204
pro,0.40018573479304376
feet,0.3998361069045809
water,0.3979603161022799
glasses,0.3963394503060011
trees,0.394784887103873
fuel,0.3937238842239632
female,0.39202142505571835
beneath,0.3888474831027162
push,0.38816328906923825
inner,0.3874158059340423
color,0.3864688661863811
john,0.3863137310676295
asian,0.3857098825903464
notes,0.385520080254741
samurai,0.3848078197740094
paris,0.38427896469732337
mike,0.382728550548067
poster,0.3819050035345701
heavy,0.38177907144609896
roll,0.38155464814837714
mystery,0.38145654134569956
prison,0.38074170408201935
act,0.38001063018045234
hook,0.3796365368647705
breath,0.37936200753719707
tales,0.37885901639091574
soon,0.3783619650732796
cities,0.37729364018290246
drawn,0.37681578775328783
beef,0.37598068629012416
won,0.3746777427290632
usa,0.374599438155943
waiting,0.37439496289089064
park,0.3737820974385208
plan,0.37331319831966303
sound,0.37304161252543405
brothers,0.3730401424922608
home,0.3721702161743664
stylish,0.3721389968063283
everybody,0.3698835487633487
naked,0.36736887089879394
europe,0.3659281201666867
loud,0.36581127666574315
loss,0.3655418088020711
hub,0.36435671597928104
forge,0.3637399102613313
ages,0.3631982729110085
blanket,0.36259474768215283
click,0.362368291417001
jr,0.3621511091943995
mountains,0.3621211392915452
swing,0.3616623742741121
animal,0.36051862959371894
making,0.3602678998730077
indian,0.3598133900325536
mama,0.35933439822578706
dock,0.3571758150683657
gluten,0.35637543479871936
things,0.3562712531157354
crime,0.3556466816582446
seconds,0.3556139377486143
albums,0.3552632835449722
combat,0.3543677729628333
umbrella,0.3540781038914169
tie,0.353823641153016
razor,0.3537966685249833
center,0.3534056055766058
cash,0.353300028916461
classic,0.35325379319757116
release,0.3532241008962793
process,0.35283399141513705
small,0.35259344699853
books,0.3523365046151722
evening,0.3521196988195741
chinese,0.3517509377303677
joshua,0.3510837554865468
south,0.3502800796358871
fest,0.3499855165713269
spice,0.3498719208540632
touch,0.3480579562591771
winning,0.3474867158150867
style,0.34730730715835517
night,0.34714279746658205
adventure,0.3466922012443426
billy,0.34647230059132567
records,0.34616542364226
wax,0.3459669723969711
long,0.34594977802154775
gen,0.34566304047322577
underwater,0.34506816267870905
paul,0.34449867297987874
suite,0.34403441145145064
edge,0.3439273240557263
goal,0.34357476907153733
meet,0.3434445137509262
aluminum,0.3428772876630755
cat,0.3413628830248032
fox,0.3392805844577379
jazz,0.33920429142617314
letters,0.33877049473506177
clear,0.3381770064528809
return,0.33807918805536374
controlled,0.33778432254230967
hybrid,0.3366223865185513
picture,0.3362252147435527
horse,0.33610931788608017
left,0.3361057208975599
streets,0.33597442019450385
communication,0.33582498104946873
ordinary,0.33570235067680027
sacred,0.33444607271666904
featuring,0.3340189054072728
shoe,0.33325871346496816
wide,0.33179579551817945
owl,0.33177598148861503
princess,0.33121762586170916
en,0.3312108529162667
shine,0.3306416715678446
illustrations,0.33056162171434195
conservation,0.3293706770362175
skull,0.3287857987419843
dive,0.32835411481612703
mixed,0.3267981161997605
camp,0.32671501391877106
alternative,0.3265042310398467
sight,0.32617721102155633
elegant,0.3260048687818559
customized,0.32599401231485364
contemporary,0.3258589879304212
work,0.3257120477197447
tell,0.3243837943937782
save,0.32338028697981697
tools,0.3223495309088176
white,0.321680092321516
issues,0.32142882880077156
los,0.3213871275896701
spinner,0.3206255096508828
avenue,0.3195471983539226
lock,0.31873226238132146
hunters,0.31791291620198786
postcards,0.3176306168878393
motion,0.31382341623934457
fall,0.3134800533986553
adapter,0.3123842291882722
ipad,0.31216976715156464
ireland,0.3106305641308756
men,0.31005023339114984
speak,0.30893465259126046
pretty,0.30830857346735874
pig,0.30803761261374224
stars,0.3073390343630772
silence,0.30712164809227266
drawings,0.3071036119252628
string,0.3070144319572565
cave,0.3068132572350113
boy,0.3046072397111404
bar,0.3039571493084738
blade,0.3027466905298437
material,0.30112339551560013
bear,0.3008914123600706
landscape,0.3001334581182144
robots,0.29987546962632855
sisters,0.29981217693237805
large,0.29765556384161285
best,0.29732845682563774
building,0.29722024033139277
student,0.2966893133318763
guide,0.29570422050875567
jeff,0.2956866355322971
minutes,0.2942245841892262
quick,0.2936676894130926
travel,0.29365462667551895
butter,0.29306742983375095
generation,0.2926505288667499
run,0.29209153793659665
hemp,0.2911372795484236
desert,0.2908244291186248
